Started at 2014-07-30 19:56:09

Inserted: 10 Things I Hate About You, 2 seasons, 27 chapters, http://subtitulos.es/show/317 absolute url, http://subtitulos.es/10-things-i-hate-about-you/ base url.
Inserted: Bluestone 42, 2 seasons, 10 chapters, http://subtitulos.es/show/1641 absolute url, http://subtitulos.es/bluestone-42/ base url.
Inserted: Boardwalk Empire, 4 seasons, 48 chapters, http://subtitulos.es/show/682 absolute url, http://subtitulos.es/boardwalk-empire/ base url.
Inserted: Bob Servant Independent, 1 seasons, 1 chapters, http://subtitulos.es/show/1593 absolute url, http://subtitulos.es/bob-servant-independent/ base url.
Inserted: Bob's Burgers, 4 seasons, 67 chapters, http://subtitulos.es/show/801 absolute url, http://subtitulos.es/bob's-burgers/ base url.
Inserted: Body of Proof, 3 seasons, 42 chapters, http://subtitulos.es/show/883 absolute url, http://subtitulos.es/body-of-proof/ base url.
Inserted: Bomb Girls, 2 seasons, 18 chapters, http://subtitulos.es/show/1200 absolute url, http://subtitulos.es/bomb-girls/ base url.
Inserted: Bones, 9 seasons, 168 chapters, http://subtitulos.es/show/7 absolute url, http://subtitulos.es/bones/ base url.
Inserted: Bonnie and Clyde (2013), 1 seasons, 2 chapters, http://subtitulos.es/show/1910 absolute url, http://subtitulos.es/bonnie-and-clyde-(2013)/ base url.
Inserted: Borealis, 1 seasons, 1 chapters, http://subtitulos.es/show/1725 absolute url, http://subtitulos.es/borealis/ base url.
Inserted: Bored to Death, 3 seasons, 24 chapters, http://subtitulos.es/show/360 absolute url, http://subtitulos.es/bored-to-death/ base url.
Inserted: Borgen, 2 seasons, 18 chapters, http://subtitulos.es/show/1380 absolute url, http://subtitulos.es/borgen/ base url.
Inserted: Borgia, 1 seasons, 1 chapters, http://subtitulos.es/show/1417 absolute url, http://subtitulos.es/borgia/ base url.
Inserted: Boris, 2 seasons, 28 chapters, http://subtitulos.es/show/466 absolute url, http://subtitulos.es/boris/ base url.
Inserted: Bosch, 1 seasons, 1 chapters, http://subtitulos.es/show/1971 absolute url, http://subtitulos.es/bosch/ base url.
Inserted: Boss, 2 seasons, 18 chapters, http://subtitulos.es/show/1111 absolute url, http://subtitulos.es/boss/ base url.
Inserted: Boston Finest, 1 seasons, 1 chapters, http://subtitulos.es/show/1631 absolute url, http://subtitulos.es/boston-finest/ base url.
Inserted: Boston Legal, 1 seasons, 12 chapters, http://subtitulos.es/show/38 absolute url, http://subtitulos.es/boston-legal/ base url.
Inserted: Boston Med, 1 seasons, 8 chapters, http://subtitulos.es/show/609 absolute url, http://subtitulos.es/boston-med/ base url.
Inserted: Bouquet of Barbed Wire, 1 seasons, 1 chapters, http://subtitulos.es/show/670 absolute url, http://subtitulos.es/bouquet-of-barbed-wire/ base url.
Inserted: Boy Meets Girl, 1 seasons, 4 chapters, http://subtitulos.es/show/278 absolute url, http://subtitulos.es/boy-meets-girl/ base url.
